STATIONS_ID;MESS_DATUM;QN_8;  R1;RS_IND;WRTR;eor
       1051;2020092500;    3;   0.0;   0;-999;eor
       1051;2020092501;    3;   0.0;   0;-999;eor
       1051;2020092502;    3;   0.0;   0;-999;eor
       1051;2020092503;    3;   0.0;   0;-999;eor
       1051;2020092504;    3;   0.0;   0;-999;eor
       1051;2020092505;    3;   1.2;   1;-999;eor
       1051;2020092506;    3;   1.2;   1;-999;eor
       1051;2020092507;    3;   2.0;   1;-999;eor
       1051;2020092508;    3;   0.8;   1;-999;eor
       1051;2020092509;    3;   0.2;   1;-999;eor
       1051;2020092510;    3;   0.0;   0;-999;eor
       1051;2020092511;    3;   0.0;   0;-999;eor
       1051;2020092512;    3;   0.0;   0;-999;eor
       1051;2020092513;    3;   0.0;   0;-999;eor
       1051;2020092514;    3;   0.0;   0;-999;eor
       1051;2020092515;    3;   0.0;   0;-999;eor
       1051;2020092516;    3;   0.0;   0;-999;eor
       1051;2020092517;    3;   0.0;   0;-999;eor
       1051;2020092518;    3;   0.3;   1;-999;eor
       1051;2020092519;    3;   0.1;   1;-999;eor
       1051;2020092520;    3;   0.0;   0;-999;eor
       1051;2020092521;    3;   0.0;   0;-999;eor
       1051;2020092522;    3;   0.0;   0;-999;eor
       1051;2020092523;    3;   0.2;   1;-999;eor
       1051;2020092600;    3;   1.3;   1;-999;eor
       1051;2020092601;    3;   1.9;   1;-999;eor
       1051;2020092602;    3;   2.4;   1;-999;eor
       1051;2020092603;    3;   2.3;   1;-999;eor
       1051;2020092604;    3;   1.3;   1;-999;eor
       1051;2020092605;    3;   1.1;   1;-999;eor
       1051;2020092606;    3;   1.9;   1;-999;eor
       1051;2020092607;    3;   2.0;   1;-999;eor
       1051;2020092608;    3;   2.4;   1;-999;eor
       1051;2020092609;    3;   3.1;   1;-999;eor
       1051;2020092610;    3;   2.5;   1;-999;eor
       1051;2020092611;    3;   3.8;   1;-999;eor
       1051;2020092612;    3;   3.1;   1;-999;eor
       1051;2020092613;    3;   2.7;   1;-999;eor
       1051;2020092614;    3;   2.4;   1;-999;eor
       1051;2020092615;    3;   1.0;   1;-999;eor
       1051;2020092616;    3;   0.7;   1;-999;eor
       1051;2020092617;    3;   0.6;   1;-999;eor
       1051;2020092618;    3;   0.2;   1;-999;eor
       1051;2020092619;    3;   0.0;   1;-999;eor
       1051;2020092620;    3;   0.0;   0;-999;eor
       1051;2020092621;    3;   0.0;   0;-999;eor
       1051;2020092622;    3;   0.0;   0;-999;eor
       1051;2020092623;    3;   0.0;   0;-999;eor
       1051;2020092700;    3;   0.0;   0;-999;eor
       1051;2020092701;    3;   0.0;   0;-999;eor
       1051;2020092702;    3;   0.0;   0;-999;eor
       1051;2020092703;    3;   0.0;   0;-999;eor
       1051;2020092704;    3;   0.0;   0;-999;eor
       1051;2020092705;    3;   0.0;   0;-999;eor
       1051;2020092706;    3;   0.0;   0;-999;eor
       1051;2020092707;    3;   0.0;   0;-999;eor
       1051;2020092708;    3;   0.0;   0;-999;eor
       1051;2020092709;    3;   0.0;   0;-999;eor
       1051;2020092710;    3;   0.0;   0;-999;eor
       1051;2020092711;    3;   0.0;   0;-999;eor
       1051;2020092712;    3;   0.0;   0;-999;eor
       1051;2020092713;    3;   0.0;   0;-999;eor
       1051;2020092714;    3;   0.0;   0;-999;eor
       1051;2020092715;    3;   0.0;   0;-999;eor
       1051;2020092716;    3;   0.0;   0;-999;eor
       1051;2020092717;    3;   0.0;   0;-999;eor
       1051;2020092718;    3;   0.0;   0;-999;eor
       1051;2020092719;    3;   0.0;   0;-999;eor
       1051;2020092720;    3;   0.0;   0;-999;eor
       1051;2020092721;    3;   0.0;   0;-999;eor
       1051;2020092722;    3;   0.0;   0;-999;eor
       1051;2020092723;    3;   0.0;   0;-999;eor
       1051;2020092800;    3;   0.0;   0;-999;eor
       1051;2020092801;    3;   0.0;   0;-999;eor
       1051;2020092802;    3;   0.0;   0;-999;eor
       1051;2020092803;    3;   0.0;   0;-999;eor
       1051;2020092804;    3;   0.0;   0;-999;eor
       1051;2020092805;    3;   0.0;   0;-999;eor
       1051;2020092806;    3;   0.0;   0;-999;eor
       1051;2020092807;    3;   0.0;   0;-999;eor
       1051;2020092808;    3;   0.0;   0;-999;eor
       1051;2020092809;    3;   0.0;   0;-999;eor
       1051;2020092810;    3;   0.0;   0;-999;eor
       1051;2020092811;    3;   0.0;   0;-999;eor
       1051;2020092812;    3;   0.0;   0;-999;eor
       1051;2020092813;    3;   0.0;   0;-999;eor
       1051;2020092814;    3;   0.0;   0;-999;eor
       1051;2020092815;    3;   0.0;   0;-999;eor
       1051;2020092816;    3;   0.0;   0;-999;eor
       1051;2020092817;    3;   0.0;   0;-999;eor
       1051;2020092818;    3;   0.1;   1;-999;eor
       1051;2020092819;    3;   0.5;   1;-999;eor
       1051;2020092820;    3;   0.2;   1;-999;eor
       1051;2020092821;    3;   0.0;   0;-999;eor
       1051;2020092822;    3;   0.4;   1;-999;eor
       1051;2020092823;    3;   0.0;   1;-999;eor
       1051;2020092900;    3;   0.0;   0;-999;eor
       1051;2020092901;    3;   0.0;   0;-999;eor
       1051;2020092902;    3;   0.0;   0;-999;eor
       1051;2020092903;    3;   0.0;   0;-999;eor
       1051;2020092904;    3;   0.0;   0;-999;eor
       1051;2020092905;    3;   0.0;   0;-999;eor
       1051;2020092906;    3;   0.0;   0;-999;eor
       1051;2020092907;    3;   0.0;   0;-999;eor
       1051;2020092908;    3;   0.1;   1;-999;eor
       1051;2020092909;    3;   0.2;   1;-999;eor
       1051;2020092910;    3;   0.3;   1;-999;eor
       1051;2020092911;    3;   0.0;   0;-999;eor
       1051;2020092912;    3;   0.0;   0;-999;eor
       1051;2020092913;    3;   0.0;   0;-999;eor
       1051;2020092914;    3;   0.0;   0;-999;eor
       1051;2020092915;    3;   0.0;   0;-999;eor
