STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1358;18900801;18900831;    1;  5.74;  11.54;   14.46;    8.76;    3.89;  22.7;-999;   2.8;-999;    1;   242.7;   34.1;eor
       1358;18900901;18900930;    1;  5.78;   6.85;    8.88;    4.90;    5.06;  15.8;-999;   1.3;-999;    1;   105.3;   23.4;eor
       1358;18901001;18901031;    1;  6.40;   1.41;    3.84;   -0.60;    5.12;  15.7;-999;  -9.1;-999;    1;    77.4;   10.5;eor
       1358;18901101;18901130;    1;  7.26;  -2.81;   -1.09;   -5.22;    4.29;   3.9;-999; -21.0;-999;    1;   124.8;   61.2;eor
       1358;18910401;18910430;    1;  6.65;  -0.53;    0.89;   -1.85;    4.09;   9.7;-999;  -8.3;-999;    1;   103.3;   23.8;eor
       1358;18910501;18910531;    1;  5.43;   7.42;   10.52;    4.38;    3.71;  15.8;-999;  -4.9;-999;    1;    62.5;   17.0;eor
       1358;18910601;18910630;    1;  6.05;   8.68;   11.23;    6.04;    3.55;  22.2;-999;  -1.6;-999;    1;   139.5;   27.8;eor
       1358;18910701;18910731;    1;  6.14;  10.20;   12.91;    7.85;    3.85;  24.8;-999;   3.5;-999;    1;   191.1;   21.8;eor
       1358;18910801;18910831;    1;  5.28;   9.35;   12.12;    7.03;    4.61;  17.6;-999;   3.3;-999;    1;    52.3;    7.3;eor
       1358;18910901;18910930;    1;  4.32;   9.20;   12.47;    6.30;    3.75;  22.4;-999;   0.6;-999;    1;    61.9;   23.5;eor
       1358;18911001;18911031;    1;  5.31;   5.88;    8.25;    3.34;    3.58;  14.7;-999;  -9.3;-999;    1;    42.6;   16.0;eor
       1358;18911101;18911130;    1;  6.26;  -2.18;   -0.52;   -4.83;    3.67;   5.8;-999; -10.9;-999;    1;    65.3;   14.1;eor
       1358;18911201;18911231;    1;  6.63;  -2.70;   -1.05;   -5.39;    4.65;   4.7;-999; -14.4;-999;    1;   103.0;   19.6;eor
       1358;18920101;18920131;    1;  6.60;  -6.58;   -4.78;   -8.64;    5.06;   0.9;-999; -12.8;-999;    1;    78.7;   18.0;eor
       1358;18920201;18920229;    1;  7.10;  -5.97;   -3.95;   -8.29;    4.17;   4.6;-999; -17.3;-999;    1;    82.3;   12.0;eor
       1358;18920301;18920331;    1;  4.91;  -5.79;   -3.11;   -8.90;    3.19;   9.7;-999; -17.9;-999;    1;    12.6;    2.0;eor
       1358;18920401;18920430;    1;  4.92;   1.77;    4.22;   -2.20;    3.56;  12.7;-999;  -8.2;-999;    1;    61.8;   19.0;eor
       1358;18920501;18920531;    1;  4.95;   5.81;    8.63;    2.55;    2.85;  23.0;-999;  -7.3;-999;    1;    60.4;   16.1;eor
       1358;18920601;18920630;    1;  5.88;   9.50;   12.81;    6.23;    2.90;  19.6;-999;   0.5;-999;    1;   114.5;   26.6;eor
       1358;18920701;18920731;    1;  5.50;  10.32;   13.46;    7.17;    2.43;  20.1;-999;   2.0;-999;    1;    70.0;   15.5;eor
       1358;18920801;18920831;    1;  4.32;  14.11;   18.17;   10.74;    2.68;  27.0;-999;   2.1;-999;    1;    41.0;    9.8;eor
       1358;18920901;18920930;    1;  5.45;   9.65;   12.34;    7.13;    2.62;  19.6;-999;   2.0;-999;    1;    90.0;   24.3;eor
       1358;18921001;18921031;    1;  6.17;   2.36;    4.34;   -0.19;    3.64;  14.7;-999;  -6.6;-999;    1;    40.0;   10.1;eor
